################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6017311575502524E+00 a       326     0    33     1     6
  1.6825380735750234E-01 a       327     0    33     1     7
  8.5121127936318708E-02 a       328     0    33     1     8
 -5.0482254693313100E-01 a       329     0    33     1     9
 -3.2081263551452754E-01 a       330     0    33     1    10
  1.0873022598610356E+00 a       331     0    34     1     1
  1.5829766740623368E+00 a       332     0    34     1     2
  1.2533983329224130E+00 a       333     0    34     1     3
 -1.0267358111773917E+00 a       334     0    34     1     4
 -2.1870398009467915E+00 a       335     0    34     1     5
  3.4573302697429381E-01 a       336     0    34     1     6
  1.7038972423143275E-01 a       337     0    34     1     7
  5.9432923371314261E-01 a       338     0    34     1     8
  6.2104998481638174E-01 a       339     0    34     1     9
  9.2847707529345191E-01 a       340     0    34     1    10
 -2.6554916612940991E-02 b       341     1     1
  3.2742323581760757E-01 b       342     1     2
 -2.5660697490280443E-03 b       343     1     3
 -3.9782075113050019E-01 b       344     1     4
 -3.2368661529963033E-01 b       345     1     5
  4.3127138441936463E-01 b       346     1     6
 -1.0157196923910743E+00 b       347     1     7
 -1.3637641413183208E+00 b       348     1     8
  7.2513592705817764E-01 b       349     1     9
  4.8699741075747927E-01 b       350     1    10
  9.9862566669058239E-01 a       351     1     1     2     1
 -7.9363347339012535E-01 a       352     1     1     2     2
  3.6891594084907287E-01 a       353     1     1     2     3
 -1.8040707936691680E+00 a       354     1     1     2     4
  7.9756311783679179E-01 a       355     1     1     2     5
 -2.4972542292689779E+00 a       356     1     1     2     6
 -2.6209202157488494E+00 a       357     1     1     2     7
 -1.2687011734030105E+00 a       358     1     1     2     8
  3.4126118894315738E+00 a       359     1     1     2     9
  4.3034617507744166E-01 a       360     1     1     2    10
  3.8383855158530489E-01 a       361     1     2     2     1
  6.4605458099435109E-01 a       362     1     2     2     2
 -1.3811071861780673E+00 a       363     1     2     2     3
  1.5038943272732042E+00 a       364     1     2     2     4
 -1.7685346336404812E+00 a       365     1     2     2     5
  2.6313326023115149E+00 a       366     1     2     2     6
 -2.2560775170036069E+00 a       367     1     2     2     7
  3.9613429814575896E-01 a       368     1     2     2     8
  1.2048957297213487E+00 a       369     1     2     2     9
  2.9770103295906587E+00 a       370     1     2     2    10
 -3.0896539350727221E+00 a       371     1     3     2     1
  1.3443051428992137E+00 a       372     1     3     2     2
  9.2708167061912261E-01 a       373     1     3     2     3
  9.3873475926187289E-01 a       374     1     3     2     4
 -2.3041058870562132E+00 a       375     1     3     2     5
  2.2530909607408205E+00 a       376     1     3     2     6
  9.2141015575608043E-01 a       377     1     3     2     7
  1.2552285713901426E-01 a       378     1     3     2     8
  3.1744433733913130E-01 a       379     1     3     2     9
 -2.8207621020445659E+00 a       380     1     3     2    10
  1.3390475109549435E-01 a       381     1     4     2     1
  7.1771176800949477E-01 a       382     1     4     2     2
  7.9430962616084475E+00 a       383     1     4     2     3
  4.0118569703220857E+00 a       384     1     4     2     4
  9.2852251979068989E-01 a       385     1     4     2     5
  5.7783869947309716E+00 a       386     1     4     2     6
  4.8360637212905013E+00 a       387     1     4     2     7
 -5.5436350560521219E-01 a       388     1     4     2     8
 -2.3515088038324564E-01 a       389     1     4     2     9
 -3.3200884904341077E+00 a       390     1     4     2    10
 -1.4175652870465238E+00 a       391     1     5     2     1
  7.2276044966721154E-01 a       392     1     5     2     2
 -2.9472915402577238E+00 a       393     1     5     2     3
 -1.6111139433905084E+00 a       394     1     5     2     4
 -1.1786302123280905E+00 a       395     1     5     2     5
  2.5623380662913422E+00 a       396     1     5     2     6
  1.9145679640507287E+00 a       397     1     5     2     7
  2.4800700314381023E+00 a       398     1     5     2     8
 -1.6605912573466564E+00 a       399     1     5     2     9
 -5.3426354105215890E-01 a       400     1     5     2    10
 -4.6804115970425847E-01 a       401     1     6     2     1
 -1.6729867867933275E+00 a       402     1     6     2     2
  2.8678448542399129E+00 a       403     1     6     2     3
 -8.9118668971605997E-01 a       404     1     6     2     4
